lags,params,mean_squared_error,max_depth,n_estimators
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 13, 'n_estimators': 100}",0.0008129394736842875,13,100
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 100}",0.0008318210526316628,20,100
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 100}",0.0008771368421053727,15,100
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 13, 'n_estimators': 80}",0.0008886842105263978,13,80
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 80}",0.0009291159539474552,20,80
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 50}",0.0009326526315789533,20,50
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 13, 'n_estimators': 50}",0.0009368842105263008,13,50
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 50}",0.0009405157894736887,15,50
[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 80}",0.0009494736842106182,15,80
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 13, 'n_estimators': 80}",0.015524206414473586,13,80
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 13, 'n_estimators': 50}",0.01630970526315782,13,50
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 13, 'n_estimators': 100}",0.01690083684210533,13,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 100}",0.01775769736842107,15,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 50}",0.01979191578947351,15,50
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 80}",0.019901928453947223,15,80
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 20, 'n_estimators': 100}",0.020795760526315696,20,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 20, 'n_estimators': 80}",0.022166899671052353,20,80
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 20, 'n_estimators': 50}",0.02323718947368404,20,50
